trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Right,4,Right,True,657,-1,4,0,intro
2,Right,8,Right,True,360,-1,8,0,intro
3,Left,16,Left,True,528,-1,16,0,intro
4,Right,16,Right,True,457,-1,16,0,stair baseStep~128px
5,Right,16,Right,True,458,-1,16,0,stair baseStep~128px
6,Right,144,Right,True,735,-1,144,0,stair baseStep~128px
7,Right,144,Right,True,458,-1,144,0,stair baseStep~128px
8,Right,272,Right,True,485,-1,272,0,stair baseStep~128px
9,Left,272,Left,True,638,-1,272,0,stair baseStep~128px
10,Right,400,Right,True,541,-1,400,0,stair baseStep~128px
11,Left,400,Left,True,500,-1,400,0,stair baseStep~128px
12,Left,528,Left,True,569,-1,528,0,stair baseStep~128px
13,Left,528,Left,True,500,-1,528,0,stair baseStep~128px
14,Right,656,Right,True,985,-1,656,0,stair baseStep~128px
15,Left,656,Left,True,778,-1,656,0,stair baseStep~128px
16,Right,784,Right,True,1597,-1,784,0,stair baseStep~128px
17,Left,784,Right,False,2138,-1,784,0,stair baseStep~128px
18,Right,656,Right,True,860,-1,656,1,stair baseStep~64px
19,Left,656,Left,True,1235,-1,656,1,stair baseStep~64px
20,Right,720,Right,True,4193,-1,720,2,stair baseStep~32px
21,Left,720,Left,True,1333,-1,720,2,stair baseStep~32px
22,Right,752,Right,True,1249,-1,752,2,stair baseStep~32px
23,Right,752,Right,True,2860,-1,752,2,stair baseStep~32px
24,Left,784,Left,True,1208,-1,784,2,stair baseStep~32px
25,Right,784,Right,True,985,-1,784,2,stair baseStep~32px
26,Left,816,Left,True,902,-1,816,2,stair baseStep~32px
27,Right,816,Right,True,1679,-1,816,2,stair baseStep~32px
28,Left,848,Right,False,1444,-1,848,2,stair baseStep~32px
29,Left,816,Right,False,1138,-1,816,3,stair baseStep~16px
30,Right,800,Right,True,1721,-1,800,3,stair baseStep~16px
31,Right,800,Left,False,1139,-1,800,3,stair baseStep~16px
32,Right,784,Right,True,3554,-1,784,3,stair baseStep~16px
33,Right,784,Right,True,7707,-1,784,3,stair baseStep~16px
34,Right,800,Right,True,2915,-1,800,4,stair baseStep~8px
35,Right,800,Left,False,1277,-1,800,4,stair baseStep~8px
36,Left,792,Right,False,1083,-1,792,5,stair baseStep~4px
37,Right,788,Left,False,2194,-1,788,5,stair baseStep~4px
38,Right,784,Right,True,2860,-1,784,5,stair baseStep~4px
39,Left,784,Right,False,2027,-1,784,5,stair baseStep~4px
40,Left,780,Left,True,7956,-1,780,5,stair baseStep~4px
41,Left,780,Left,True,1041,-1,780,5,stair baseStep~4px
,,,,,,,,JND_px,784
