trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Right,4,Right,True,2746,-1,4,0,intro
2,Left,8,Left,True,555,-1,8,0,intro
3,Left,16,Left,True,485,-1,16,0,intro
4,Left,16,Left,True,444,-1,16,0,stair baseStep~128px
5,Left,16,Left,True,443,-1,16,0,stair baseStep~128px
6,Left,144,Left,True,444,-1,144,0,stair baseStep~128px
7,Left,144,Left,True,444,-1,144,0,stair baseStep~128px
8,Left,272,Left,True,444,-1,272,0,stair baseStep~128px
9,Left,272,Left,True,458,-1,272,0,stair baseStep~128px
10,Right,400,Right,True,596,-1,400,0,stair baseStep~128px
11,Left,400,Left,True,458,-1,400,0,stair baseStep~128px
12,Right,528,Right,True,541,-1,528,0,stair baseStep~128px
13,Right,528,Right,True,555,-1,528,0,stair baseStep~128px
14,Left,656,Left,True,569,-1,656,0,stair baseStep~128px
15,Left,656,Left,True,596,-1,656,0,stair baseStep~128px
16,Left,784,Left,True,957,-1,784,0,stair baseStep~128px
17,Left,784,Left,True,1276,-1,784,0,stair baseStep~128px
18,Right,912,Right,True,1166,-1,912,0,stair baseStep~128px
19,Right,912,Left,False,1332,-1,912,0,stair baseStep~128px
20,Left,784,Left,True,1166,-1,784,1,stair baseStep~64px
21,Left,784,Left,True,874,-1,784,1,stair baseStep~64px
22,Right,848,Right,True,638,-1,848,2,stair baseStep~32px
23,Right,848,Left,False,6734,-1,848,2,stair baseStep~32px
24,Left,816,Left,True,1582,-1,816,3,stair baseStep~16px
25,Right,816,Right,True,707,-1,816,3,stair baseStep~16px
26,Left,832,Left,True,1555,-1,832,4,stair baseStep~8px
27,Left,832,Left,True,1499,-1,832,4,stair baseStep~8px
28,Right,840,Right,True,1360,-1,840,4,stair baseStep~8px
29,Left,840,Left,True,1693,-1,840,4,stair baseStep~8px
30,Right,848,Right,True,1735,-1,848,4,stair baseStep~8px
31,Left,848,Left,True,652,-1,848,4,stair baseStep~8px
32,Left,856,Left,True,791,-1,856,4,stair baseStep~8px
33,Left,856,Left,True,1262,-1,856,4,stair baseStep~8px
34,Left,864,Left,True,1541,-1,864,4,stair baseStep~8px
35,Right,864,Right,True,1735,-1,864,4,stair baseStep~8px
36,Left,872,Left,True,2054,-1,872,4,stair baseStep~8px
37,Right,872,Right,True,2319,-1,872,4,stair baseStep~8px
38,Right,880,Right,True,2249,-1,880,4,stair baseStep~8px
39,Right,880,Right,True,2165,-1,880,4,stair baseStep~8px
40,Right,888,Right,True,1708,-1,888,4,stair baseStep~8px
41,Left,888,Right,False,1152,-1,888,4,stair baseStep~8px
42,Right,880,Left,False,4637,-1,880,5,stair baseStep~4px
43,Right,876,Right,True,3735,-1,876,5,stair baseStep~4px
44,Right,876,Right,True,2416,-1,876,5,stair baseStep~4px
,,,,,,,,JND_px,880
