trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Left,4,Left,True,7952,-1,4,0,intro std='Bricks101_crop_3'
2,Left,8,Left,True,1561,-1,8,0,intro std='Bricks101_crop_1'
3,Right,16,Right,True,549,-1,16,0,intro std='Bricks101_crop_1'
4,Right,16,Right,True,478,-1,16,0,stair std='Bricks101_crop_1'
5,Right,16,Right,True,483,-1,16,0,stair std='Bricks101_crop_2'
6,Left,144,Left,True,506,-1,144,0,stair std='Bricks101_crop_3'
7,Right,144,Right,True,589,-1,144,0,stair std='Bricks101_crop_2'
8,Right,272,Right,True,564,-1,272,0,stair std='Bricks101_crop_3'
9,Left,272,Left,True,539,-1,272,0,stair std='Bricks101_crop_1'
10,Left,400,Left,True,643,-1,400,0,stair std='Bricks101_crop_3'
11,Left,400,Left,True,603,-1,400,0,stair std='Bricks101_crop_2'
12,Right,528,Right,True,505,-1,528,0,stair std='Bricks101_crop_2'
13,Right,528,Right,True,1737,-1,528,0,stair std='Bricks101_crop_3'
14,Left,656,Left,True,926,-1,656,0,stair std='Bricks101_crop_2'
15,Left,656,Left,True,2219,-1,656,0,stair std='Bricks101_crop_1'
16,Right,784,Right,True,4618,-1,784,0,stair std='Bricks101_crop_3'
17,Left,784,Left,True,3060,-1,784,0,stair std='Bricks101_crop_2'
18,Right,912,Right,True,971,-1,912,0,stair std='Bricks101_crop_1'
19,Right,912,Right,True,864,-1,912,0,stair std='Bricks101_crop_2'
20,Right,1020,Left,False,738,-1,1020,0,stair std='Bricks101_crop_3'
21,Right,892,Right,True,1192,-1,892,0,stair std='Bricks101_crop_3'
22,Left,892,Left,True,1106,-1,892,0,stair std='Bricks101_crop_3'
23,Left,956,Left,True,1292,-1,956,0,stair std='Bricks101_crop_3'
24,Right,956,Right,True,808,-1,956,0,stair std='Bricks101_crop_2'
25,Left,988,Left,True,774,-1,988,0,stair std='Bricks101_crop_1'
26,Right,988,Left,False,919,-1,988,0,stair std='Bricks101_crop_3'
27,Right,956,Right,True,2461,-1,956,0,stair std='Bricks101_crop_3'
28,Right,956,Right,True,2510,-1,956,0,stair std='Bricks101_crop_3'
29,Right,972,Right,True,914,-1,972,0,stair std='Bricks101_crop_1'
30,Right,972,Right,True,1509,-1,972,0,stair std='Bricks101_crop_2'
31,Right,980,Right,True,6493,-1,980,0,stair std='Bricks101_crop_1'
32,Right,980,Right,True,1119,-1,980,0,stair std='Bricks101_crop_1'
33,Right,988,Right,True,630,-1,988,0,stair std='Bricks101_crop_3'
34,Left,988,Left,True,1476,-1,988,0,stair std='Bricks101_crop_2'
35,Right,996,Right,True,5005,-1,996,0,stair std='Bricks101_crop_3'
36,Left,996,Left,True,4072,-1,996,0,stair std='Bricks101_crop_3'
37,Left,1004,Left,True,1181,-1,1004,0,stair std='Bricks101_crop_3'
38,Left,1004,Left,True,3837,-1,1004,0,stair std='Bricks101_crop_1'
39,Right,1012,Right,True,4176,-1,1012,0,stair std='Bricks101_crop_2'
40,Left,1012,Left,True,850,-1,1012,0,stair std='Bricks101_crop_2'
41,Left,1020,Right,False,4653,-1,1020,0,stair std='Bricks101_crop_1'
42,Left,1012,Right,False,911,-1,1012,1,stair std='Bricks101_crop_2'
43,Left,1008,Left,True,924,-1,1008,1,stair std='Bricks101_crop_1'
44,Right,1008,Right,True,784,-1,1008,1,stair std='Bricks101_crop_2'
45,Right,1012,Right,True,2242,-1,1012,2,stair std='Bricks101_crop_1'
46,Right,1012,Right,True,4498,-1,1012,2,stair std='Bricks101_crop_3'
47,Right,1016,Right,True,538,-1,1016,2,stair std='Bricks101_crop_3'
48,Right,1016,Right,True,1895,-1,1016,2,stair std='Bricks101_crop_2'
49,Left,1020,Left,True,963,-1,1020,2,stair std='Bricks101_crop_3'
50,Left,1020,Left,True,845,-1,1020,2,stair std='Bricks101_crop_3'
51,Left,1020,Left,True,2077,-1,1020,2,stair std='Bricks101_crop_3'
52,Left,1020,Left,True,3270,-1,1020,2,stair std='Bricks101_crop_1'
53,Right,1020,Left,False,1156,-1,1020,2,stair std='Bricks101_crop_3'
54,Left,1016,Left,True,778,-1,1016,3,stair std='Bricks101_crop_1'
55,Left,1016,Right,False,2205,-1,1016,3,stair std='Bricks101_crop_3'
56,Left,1012,Right,False,9666,-1,1012,3,stair std='Bricks101_crop_1'
57,Right,1008,Right,True,591,-1,1008,3,stair std='Bricks101_crop_2'
58,Left,1008,Left,True,4826,-1,1008,3,stair std='Bricks101_crop_2'
59,Right,1012,Right,True,1429,-1,1012,4,stair std='Bricks101_crop_3'
60,Right,1012,Right,True,6056,-1,1012,4,stair std='Bricks101_crop_2'
61,Left,1016,Right,False,2235,-1,1016,4,stair std='Bricks101_crop_1'
,,,,,,,,JND_px,1012
