trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Left,4,Left,True,29389,-1,4,0,intro std='Bricks101_crop_1'
2,Right,8,Right,True,627,-1,8,0,intro std='Bricks101_crop_3'
3,Left,16,Left,True,2390,-1,16,0,intro std='Bricks101_crop_3'
4,Right,16,Right,True,432,-1,16,0,stair std='Bricks101_crop_2'
5,Right,16,Right,True,541,-1,16,0,stair std='Bricks101_crop_2'
6,Right,144,Right,True,671,-1,144,0,stair std='Bricks101_crop_2'
7,Right,144,Right,True,529,-1,144,0,stair std='Bricks101_crop_2'
8,Right,272,Right,True,852,-1,272,0,stair std='Bricks101_crop_2'
9,Right,272,Right,True,703,-1,272,0,stair std='Bricks101_crop_2'
10,Left,400,Left,True,634,-1,400,0,stair std='Bricks101_crop_2'
11,Left,400,Left,True,685,-1,400,0,stair std='Bricks101_crop_2'
12,Right,528,Right,True,1494,-1,528,0,stair std='Bricks101_crop_2'
13,Right,528,Right,True,865,-1,528,0,stair std='Bricks101_crop_3'
14,Right,656,Right,True,4064,-1,656,0,stair std='Bricks101_crop_3'
15,Right,656,Right,True,1051,-1,656,0,stair std='Bricks101_crop_2'
16,Right,784,Right,True,1218,-1,784,0,stair std='Bricks101_crop_1'
17,Right,784,Right,True,880,-1,784,0,stair std='Bricks101_crop_1'
18,Right,912,Right,True,845,-1,912,0,stair std='Bricks101_crop_3'
19,Right,912,Right,True,996,-1,912,0,stair std='Bricks101_crop_2'
20,Left,1020,Left,True,2586,-1,1020,0,stair std='Bricks101_crop_3'
21,Left,1020,Left,True,1006,-1,1020,0,stair std='Bricks101_crop_2'
22,Left,1020,Left,True,3328,-1,1020,0,stair std='Bricks101_crop_2'
23,Right,1020,Left,False,12152,-1,1020,0,stair std='Bricks101_crop_2'
24,Left,892,Right,False,1535,-1,892,0,stair std='Bricks101_crop_3'
25,Right,828,Right,True,2482,-1,828,0,stair std='Bricks101_crop_3'
26,Left,828,Left,True,5684,-1,828,0,stair std='Bricks101_crop_1'
27,Right,892,Right,True,4007,-1,892,0,stair std='Bricks101_crop_1'
28,Left,892,Right,False,2612,-1,892,0,stair std='Bricks101_crop_3'
29,Right,860,Right,True,3447,-1,860,0,stair std='Bricks101_crop_3'
30,Right,860,Right,True,844,-1,860,0,stair std='Bricks101_crop_1'
31,Left,876,Left,True,3351,-1,876,0,stair std='Bricks101_crop_3'
32,Left,876,Left,True,4618,-1,876,0,stair std='Bricks101_crop_1'
33,Left,884,Left,True,1287,-1,884,0,stair std='Bricks101_crop_3'
34,Right,884,Right,True,895,-1,884,0,stair std='Bricks101_crop_1'
35,Left,892,Left,True,970,-1,892,0,stair std='Bricks101_crop_1'
36,Right,892,Left,False,6165,-1,892,0,stair std='Bricks101_crop_3'
37,Left,884,Left,True,4504,-1,884,1,stair std='Bricks101_crop_1'
38,Left,884,Left,True,3142,-1,884,1,stair std='Bricks101_crop_1'
39,Right,888,Right,True,1509,-1,888,2,stair std='Bricks101_crop_1'
40,Left,888,Left,True,3045,-1,888,2,stair std='Bricks101_crop_3'
41,Right,892,Right,True,724,-1,892,2,stair std='Bricks101_crop_3'
42,Left,892,Right,False,716,-1,892,2,stair std='Bricks101_crop_3'
43,Left,888,Left,True,1737,-1,888,3,stair std='Bricks101_crop_2'
44,Right,888,Right,True,623,-1,888,3,stair std='Bricks101_crop_3'
45,Right,892,Right,True,1103,-1,892,4,stair std='Bricks101_crop_1'
46,Left,892,Left,True,1373,-1,892,4,stair std='Bricks101_crop_2'
47,Right,896,Right,True,1799,-1,896,4,stair std='Bricks101_crop_2'
48,Left,896,Left,True,1313,-1,896,4,stair std='Bricks101_crop_3'
49,Left,900,Left,True,5833,-1,900,4,stair std='Bricks101_crop_2'
50,Right,900,Right,True,1198,-1,900,4,stair std='Bricks101_crop_2'
51,Right,904,Left,False,3813,-1,904,4,stair std='Bricks101_crop_2'
,,,,,,,,JND_px,900
