trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Right,4,Right,True,4060,-1,4,0,intro
2,Right,8,Right,True,327,-1,8,0,intro
3,Left,16,Right,False,571,-1,16,0,intro
4,Right,16,Right,True,486,-1,16,0,stair baseStep~128px
5,Left,16,Left,True,472,-1,16,0,stair baseStep~128px
6,Right,80,Left,False,567,-1,80,0,stair baseStep~128px
7,Right,4,Right,True,441,-1,4,1,stair baseStep~64px
8,Right,4,Right,True,387,-1,4,1,stair baseStep~64px
9,Left,36,Right,False,533,-1,36,2,stair baseStep~32px
10,Left,4,Left,True,562,-1,4,3,stair baseStep~16px
11,Right,4,Right,True,607,-1,4,3,stair baseStep~16px
12,Left,12,Right,False,523,-1,12,4,stair baseStep~8px
13,Right,4,Right,True,589,-1,4,5,stair baseStep~4px
14,Left,4,Left,True,499,-1,4,5,stair baseStep~4px
,,,,,,,,JND_px,8
