trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Right,4,Left,False,17270,-1,4,0,intro
2,Left,8,Left,True,4791,-1,8,0,intro
3,Right,16,Right,True,820,-1,16,0,intro
4,Left,16,Left,True,1249,-1,16,0,stair baseStep~128px
5,Right,16,Right,True,583,-1,16,0,stair baseStep~128px
6,Right,80,Right,True,638,-1,80,0,stair baseStep~128px
7,Right,80,Right,True,874,-1,80,0,stair baseStep~128px
8,Left,144,Left,True,638,-1,144,0,stair baseStep~128px
9,Right,144,Right,True,749,-1,144,0,stair baseStep~128px
10,Left,208,Left,True,694,-1,208,0,stair baseStep~128px
11,Right,208,Right,True,1055,-1,208,0,stair baseStep~128px
12,Left,272,Left,True,1888,-1,272,0,stair baseStep~128px
13,Left,272,Left,True,889,-1,272,0,stair baseStep~128px
14,Right,336,Right,True,1124,-1,336,0,stair baseStep~128px
15,Right,336,Right,True,12041,-1,336,0,stair baseStep~128px
16,Left,400,Left,True,790,-1,400,0,stair baseStep~128px
17,Right,400,Right,True,680,-1,400,0,stair baseStep~128px
18,Right,464,Right,True,1207,-1,464,0,stair baseStep~128px
19,Left,464,Left,True,652,-1,464,0,stair baseStep~128px
20,Right,528,Right,True,1541,-1,528,0,stair baseStep~128px
21,Right,528,Right,True,1596,-1,528,0,stair baseStep~128px
22,Right,592,Left,False,10207,-1,592,0,stair baseStep~128px
23,Right,336,Left,False,9124,-1,336,1,stair baseStep~64px
24,Left,208,Left,True,805,-1,208,1,stair baseStep~64px
25,Right,208,Right,True,985,-1,208,1,stair baseStep~64px
26,Right,240,Right,True,597,-1,240,2,stair baseStep~32px
27,Right,240,Right,True,4208,-1,240,2,stair baseStep~32px
28,Right,256,Right,True,638,-1,256,2,stair baseStep~32px
29,Right,256,Right,True,1291,-1,256,2,stair baseStep~32px
30,Left,272,Left,True,638,-1,272,2,stair baseStep~32px
31,Right,272,Right,True,846,-1,272,2,stair baseStep~32px
32,Left,288,Left,True,611,-1,288,2,stair baseStep~32px
33,Left,288,Left,True,1429,-1,288,2,stair baseStep~32px
34,Right,304,Right,True,2291,-1,304,2,stair baseStep~32px
35,Left,304,Left,True,861,-1,304,2,stair baseStep~32px
36,Left,320,Left,True,2180,-1,320,2,stair baseStep~32px
37,Right,320,Right,True,777,-1,320,2,stair baseStep~32px
38,Right,336,Right,True,5944,-1,336,2,stair baseStep~32px
39,Left,336,Left,True,707,-1,336,2,stair baseStep~32px
40,Left,352,Left,True,1138,-1,352,2,stair baseStep~32px
41,Left,352,Left,True,1402,-1,352,2,stair baseStep~32px
42,Left,368,Left,True,1999,-1,368,2,stair baseStep~32px
43,Right,368,Right,True,1582,-1,368,2,stair baseStep~32px
44,Right,384,Right,True,2555,-1,384,2,stair baseStep~32px
45,Right,384,Right,True,1110,-1,384,2,stair baseStep~32px
46,Right,400,Right,True,4263,-1,400,2,stair baseStep~32px
47,Right,400,Right,True,1582,-1,400,2,stair baseStep~32px
48,Right,416,Left,False,3027,-1,416,2,stair baseStep~32px
49,Left,352,Left,True,5416,-1,352,3,stair baseStep~16px
50,Right,352,Right,True,777,-1,352,3,stair baseStep~16px
51,Left,360,Left,True,945,-1,360,4,stair baseStep~8px
52,Right,360,Right,True,1110,-1,360,4,stair baseStep~8px
53,Right,364,Right,True,902,-1,364,4,stair baseStep~8px
54,Left,364,Left,True,694,-1,364,4,stair baseStep~8px
55,Right,368,Right,True,707,-1,368,4,stair baseStep~8px
56,Right,368,Right,True,1069,-1,368,4,stair baseStep~8px
57,Right,372,Right,True,833,-1,372,4,stair baseStep~8px
58,Right,372,Right,True,930,-1,372,4,stair baseStep~8px
59,Left,376,Left,True,625,-1,376,4,stair baseStep~8px
60,Left,376,Left,True,638,-1,376,4,stair baseStep~8px
61,Left,380,Left,True,763,-1,380,4,stair baseStep~8px
62,Left,380,Left,True,1221,-1,380,4,stair baseStep~8px
63,Left,384,Left,True,1402,-1,384,4,stair baseStep~8px
64,Left,384,Left,True,1333,-1,384,4,stair baseStep~8px
65,Left,388,Left,True,1736,-1,388,4,stair baseStep~8px
66,Right,388,Right,True,791,-1,388,4,stair baseStep~8px
67,Left,392,Left,True,1291,-1,392,4,stair baseStep~8px
68,Left,392,Left,True,1374,-1,392,4,stair baseStep~8px
69,Right,396,Right,True,1083,-1,396,4,stair baseStep~8px
70,Right,396,Right,True,958,-1,396,4,stair baseStep~8px
71,Right,400,Right,True,916,-1,400,4,stair baseStep~8px
72,Right,400,Right,True,1513,-1,400,4,stair baseStep~8px
73,Right,404,Right,True,805,-1,404,4,stair baseStep~8px
74,Left,404,Left,True,791,-1,404,4,stair baseStep~8px
75,Right,408,Right,True,694,-1,408,4,stair baseStep~8px
76,Right,408,Right,True,1582,-1,408,4,stair baseStep~8px
77,Right,412,Right,True,2207,-1,412,4,stair baseStep~8px
78,Left,412,Left,True,680,-1,412,4,stair baseStep~8px
79,Right,416,Right,True,735,-1,416,4,stair baseStep~8px
80,Left,416,Left,True,680,-1,416,4,stair baseStep~8px
81,Left,420,Left,True,652,-1,420,4,stair baseStep~8px
82,Right,420,Right,True,569,-1,420,4,stair baseStep~8px
83,Left,424,Left,True,1083,-1,424,4,stair baseStep~8px
84,Left,424,Left,True,1583,-1,424,4,stair baseStep~8px
85,Right,428,Right,True,1860,-1,428,4,stair baseStep~8px
86,Right,428,Right,True,1458,-1,428,4,stair baseStep~8px
87,Right,432,Right,True,596,-1,432,4,stair baseStep~8px
88,Right,432,Right,True,999,-1,432,4,stair baseStep~8px
89,Left,436,Left,True,680,-1,436,4,stair baseStep~8px
90,Right,436,Right,True,680,-1,436,4,stair baseStep~8px
91,Left,440,Left,True,638,-1,440,4,stair baseStep~8px
92,Left,440,Left,True,860,-1,440,4,stair baseStep~8px
93,Right,444,Right,True,569,-1,444,4,stair baseStep~8px
94,Right,444,Right,True,1027,-1,444,4,stair baseStep~8px
95,Left,448,Left,True,1471,-1,448,4,stair baseStep~8px
96,Right,448,Right,True,652,-1,448,4,stair baseStep~8px
97,Left,452,Left,True,582,-1,452,4,stair baseStep~8px
98,Right,452,Right,True,818,-1,452,4,stair baseStep~8px
99,Left,456,Left,True,583,-1,456,4,stair baseStep~8px
100,Right,456,Right,True,596,-1,456,4,stair baseStep~8px
101,Right,460,Right,True,582,-1,460,4,stair baseStep~8px
102,Right,460,Right,True,944,-1,460,4,stair baseStep~8px
103,Left,464,Left,True,666,-1,464,4,stair baseStep~8px
104,Left,464,Left,True,513,-1,464,4,stair baseStep~8px
105,Right,468,Right,True,652,-1,468,4,stair baseStep~8px
106,Left,468,Left,True,721,-1,468,4,stair baseStep~8px
107,Right,472,Right,True,749,-1,472,4,stair baseStep~8px
108,Right,472,Right,True,1152,-1,472,4,stair baseStep~8px
109,Right,476,Right,True,1818,-1,476,4,stair baseStep~8px
110,Left,476,Left,True,3083,-1,476,4,stair baseStep~8px
111,Right,480,Right,True,624,-1,480,4,stair baseStep~8px
112,Right,480,Right,True,1110,-1,480,4,stair baseStep~8px
113,Right,484,Right,True,1165,-1,484,4,stair baseStep~8px
114,Right,484,Right,True,1624,-1,484,4,stair baseStep~8px
115,Right,488,Right,True,1846,-1,488,4,stair baseStep~8px
116,Right,488,Right,True,1986,-1,488,4,stair baseStep~8px
