trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Right,4,Right,True,5710,-1,4,0,intro
2,Right,8,Right,True,999,-1,8,0,intro
3,Left,16,Left,True,916,-1,16,0,intro
4,Right,16,Right,True,541,-1,16,0,stair baseStep~128px
5,Left,16,Left,True,388,-1,16,0,stair baseStep~128px
6,Left,144,Left,True,652,-1,144,0,stair baseStep~128px
7,Left,144,Left,True,485,-1,144,0,stair baseStep~128px
8,Right,272,Right,True,1110,-1,272,0,stair baseStep~128px
9,Left,272,Left,True,444,-1,272,0,stair baseStep~128px
10,Left,400,Left,True,819,-1,400,0,stair baseStep~128px
11,Right,400,Right,True,3860,-1,400,0,stair baseStep~128px
12,Left,528,Left,True,5513,-1,528,0,stair baseStep~128px
13,Left,528,Left,True,541,-1,528,0,stair baseStep~128px
14,Left,656,Left,True,430,-1,656,0,stair baseStep~128px
15,Left,656,Left,True,458,-1,656,0,stair baseStep~128px
16,Left,784,Left,True,791,-1,784,0,stair baseStep~128px
17,Left,784,Left,True,708,-1,784,0,stair baseStep~128px
18,Left,912,Left,True,1110,-1,912,0,stair baseStep~128px
19,Right,912,Left,False,666,-1,912,0,stair baseStep~128px
20,Right,784,Left,False,1180,-1,784,1,stair baseStep~64px
21,Left,720,Left,True,2221,-1,720,1,stair baseStep~64px
22,Right,720,Right,True,1180,-1,720,1,stair baseStep~64px
23,Right,784,Right,True,1513,-1,784,2,stair baseStep~32px
24,Right,784,Left,False,4569,-1,784,2,stair baseStep~32px
25,Right,752,Left,False,2152,-1,752,3,stair baseStep~16px
26,Left,736,Left,True,1360,-1,736,3,stair baseStep~16px
27,Left,736,Right,False,1624,-1,736,3,stair baseStep~16px
28,Right,720,Left,False,583,-1,720,3,stair baseStep~16px
29,Left,704,Left,True,1333,-1,704,3,stair baseStep~16px
30,Left,704,Left,True,1013,-1,704,3,stair baseStep~16px
31,Right,720,Right,True,1333,-1,720,4,stair baseStep~8px
32,Right,720,Right,True,1930,-1,720,4,stair baseStep~8px
33,Right,728,Right,True,15874,-1,728,4,stair baseStep~8px
34,Left,728,Left,True,3832,-1,728,4,stair baseStep~8px
35,Right,736,Right,True,1569,-1,736,4,stair baseStep~8px
36,Left,736,Left,True,1388,-1,736,4,stair baseStep~8px
37,Left,744,Left,True,1041,-1,744,4,stair baseStep~8px
38,Right,744,Left,False,2527,-1,744,4,stair baseStep~8px
39,Left,736,Left,True,1346,-1,736,5,stair baseStep~4px
40,Right,736,Right,True,1347,-1,736,5,stair baseStep~4px
,,,,,,,,JND_px,740
