trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Left,4,Left,True,1082,-1,4,0,intro
2,Right,8,Right,True,499,-1,8,0,intro
3,Right,16,Right,True,652,-1,16,0,intro
4,Left,16,Left,True,555,-1,16,0,stair baseStep~128px
5,Left,16,Left,True,527,-1,16,0,stair baseStep~128px
6,Right,144,Right,True,971,-1,144,0,stair baseStep~128px
7,Left,144,Left,True,1277,-1,144,0,stair baseStep~128px
8,Right,272,Right,True,792,-1,272,0,stair baseStep~128px
9,Right,272,Right,True,832,-1,272,0,stair baseStep~128px
10,Right,400,Right,True,1916,-1,400,0,stair baseStep~128px
11,Right,400,Right,True,916,-1,400,0,stair baseStep~128px
12,Right,528,Right,True,791,-1,528,0,stair baseStep~128px
13,Right,528,Right,True,791,-1,528,0,stair baseStep~128px
14,Right,656,Right,True,833,-1,656,0,stair baseStep~128px
15,Right,656,Right,True,735,-1,656,0,stair baseStep~128px
16,Right,784,Left,False,735,-1,784,0,stair baseStep~128px
17,Right,656,Right,True,666,-1,656,1,stair baseStep~64px
18,Right,656,Right,True,694,-1,656,1,stair baseStep~64px
19,Left,720,Left,True,1402,-1,720,2,stair baseStep~32px
20,Left,720,Left,True,805,-1,720,2,stair baseStep~32px
21,Left,752,Right,False,666,-1,752,2,stair baseStep~32px
22,Right,720,Right,True,749,-1,720,3,stair baseStep~16px
23,Right,720,Right,True,694,-1,720,3,stair baseStep~16px
24,Left,736,Left,True,2791,-1,736,4,stair baseStep~8px
25,Left,736,Right,False,2013,-1,736,4,stair baseStep~8px
26,Left,728,Left,True,1180,-1,728,5,stair baseStep~4px
27,Right,728,Right,True,1583,-1,728,5,stair baseStep~4px
,,,,,,,,JND_px,732
