trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Right,4,Right,True,5183,-1,4,0,intro
2,Right,8,Right,True,472,-1,8,0,intro
3,Right,16,Right,True,402,-1,16,0,intro
4,Right,16,Right,True,346,-1,16,0,stair baseStep~128px
5,Right,16,Right,True,277,-1,16,0,stair baseStep~128px
6,Left,144,Left,True,930,-1,144,0,stair baseStep~128px
7,Right,144,Right,True,707,-1,144,0,stair baseStep~128px
8,Left,272,Left,True,472,-1,272,0,stair baseStep~128px
9,Left,272,Left,True,527,-1,272,0,stair baseStep~128px
10,Left,400,Left,True,1055,-1,400,0,stair baseStep~128px
11,Left,400,Left,True,735,-1,400,0,stair baseStep~128px
12,Right,528,Right,True,2444,-1,528,0,stair baseStep~128px
13,Left,528,Left,True,2027,-1,528,0,stair baseStep~128px
14,Left,656,Left,True,1138,-1,656,0,stair baseStep~128px
15,Right,656,Right,True,1680,-1,656,0,stair baseStep~128px
16,Right,784,Right,True,4888,-1,784,0,stair baseStep~128px
17,Right,784,Right,True,3707,-1,784,0,stair baseStep~128px
18,Right,912,Right,True,2082,-1,912,0,stair baseStep~128px
19,Left,912,Right,False,902,-1,912,0,stair baseStep~128px
20,Right,784,Right,True,1319,-1,784,1,stair baseStep~64px
21,Left,784,Right,False,1013,-1,784,1,stair baseStep~64px
22,Right,720,Right,True,860,-1,720,1,stair baseStep~64px
23,Right,720,Right,True,3013,-1,720,1,stair baseStep~64px
24,Left,784,Left,True,2943,-1,784,2,stair baseStep~32px
25,Left,784,Left,True,12582,-1,784,2,stair baseStep~32px
26,Left,816,Right,False,3610,-1,816,2,stair baseStep~32px
27,Left,784,Left,True,1374,-1,784,3,stair baseStep~16px
28,Left,784,Right,False,1360,-1,784,3,stair baseStep~16px
29,Right,768,Right,True,3583,-1,768,3,stair baseStep~16px
30,Left,768,Left,True,2277,-1,768,3,stair baseStep~16px
31,Right,784,Left,False,1471,-1,784,4,stair baseStep~8px
32,Right,776,Left,False,1263,-1,776,5,stair baseStep~4px
33,Right,772,Right,True,999,-1,772,5,stair baseStep~4px
34,Right,772,Left,False,2847,-1,772,5,stair baseStep~4px
35,Right,768,Right,True,1610,-1,768,5,stair baseStep~4px
36,Left,768,Left,True,5707,-1,768,5,stair baseStep~4px
,,,,,,,,JND_px,772
