trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Left,4,Left,True,1212,-1,4,0,intro
2,Right,8,Right,True,944,-1,8,0,intro
3,Left,16,Left,True,333,-1,16,0,intro
4,Right,16,Right,True,374,-1,16,0,stair baseStep~128px
5,Left,16,Left,True,305,-1,16,0,stair baseStep~128px
6,Right,144,Right,True,305,-1,144,0,stair baseStep~128px
7,Left,144,Left,True,430,-1,144,0,stair baseStep~128px
8,Left,272,Left,True,874,-1,272,0,stair baseStep~128px
9,Left,272,Left,True,875,-1,272,0,stair baseStep~128px
10,Right,400,Right,True,555,-1,400,0,stair baseStep~128px
11,Left,400,Left,True,2318,-1,400,0,stair baseStep~128px
12,Left,528,Left,True,1569,-1,528,0,stair baseStep~128px
13,Left,528,Left,True,791,-1,528,0,stair baseStep~128px
14,Left,656,Left,True,1569,-1,656,0,stair baseStep~128px
15,Left,656,Left,True,1624,-1,656,0,stair baseStep~128px
16,Left,784,Left,True,625,-1,784,0,stair baseStep~128px
17,Left,784,Left,True,2318,-1,784,0,stair baseStep~128px
18,Right,912,Left,False,1166,-1,912,0,stair baseStep~128px
19,Left,784,Left,True,1304,-1,784,1,stair baseStep~64px
20,Left,784,Left,True,2444,-1,784,1,stair baseStep~64px
21,Right,848,Left,False,1180,-1,848,2,stair baseStep~32px
22,Left,816,Left,True,2277,-1,816,3,stair baseStep~16px
23,Right,816,Left,False,3263,-1,816,3,stair baseStep~16px
24,Right,800,Right,True,1486,-1,800,3,stair baseStep~16px
25,Right,800,Right,True,1111,-1,800,3,stair baseStep~16px
26,Right,816,Left,False,930,-1,816,4,stair baseStep~8px
27,Left,808,Left,True,1235,-1,808,5,stair baseStep~4px
28,Left,808,Right,False,805,-1,808,5,stair baseStep~4px
29,Right,804,Right,True,3541,-1,804,5,stair baseStep~4px
30,Right,804,Right,True,2902,-1,804,5,stair baseStep~4px
,,,,,,,,JND_px,808
