trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Left,4,Left,True,5299,-1,4,0,intro
2,Right,8,Right,True,559,-1,8,0,intro
3,Right,16,Left,False,345,-1,16,0,intro
4,Left,16,Left,True,771,-1,16,0,stair baseStep~128px
5,Right,16,Right,True,575,-1,16,0,stair baseStep~128px
6,Right,80,Left,False,339,-1,80,0,stair baseStep~128px
7,Right,4,Right,True,383,-1,4,1,stair baseStep~64px
8,Right,4,Right,True,307,-1,4,1,stair baseStep~64px
9,Right,36,Left,False,450,-1,36,2,stair baseStep~32px
10,Left,4,Left,True,420,-1,4,3,stair baseStep~16px
11,Left,4,Left,True,296,-1,4,3,stair baseStep~16px
12,Left,12,Right,False,405,-1,12,4,stair baseStep~8px
,,,,,,,,JND_px,4
