trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Left,4,Right,False,6314,-1,4,0,intro
2,Left,8,Left,True,614,-1,8,0,intro
3,Right,16,Right,True,481,-1,16,0,intro
4,Left,16,Left,True,434,-1,16,0,stair baseStep~128px
5,Right,16,Right,True,381,-1,16,0,stair baseStep~128px
6,Right,80,Left,False,226,-1,80,0,stair baseStep~128px
7,Left,4,Left,True,248,-1,4,1,stair baseStep~64px
8,Right,4,Left,False,298,-1,4,1,stair baseStep~64px
9,Right,4,Right,True,169,-1,4,1,stair baseStep~64px
10,Right,4,Left,False,162,-1,4,1,stair baseStep~64px
11,Right,4,Right,True,147,-1,4,1,stair baseStep~64px
12,Left,4,Left,True,148,-1,4,1,stair baseStep~64px
13,Left,36,Right,False,139,-1,36,2,stair baseStep~32px
14,Left,4,Left,True,120,-1,4,3,stair baseStep~16px
15,Left,4,Right,False,408,-1,4,3,stair baseStep~16px
16,Left,4,Left,True,125,-1,4,3,stair baseStep~16px
17,Right,4,Left,False,86,-1,4,3,stair baseStep~16px
18,Right,4,Right,True,113,-1,4,3,stair baseStep~16px
19,Right,4,Left,False,111,-1,4,3,stair baseStep~16px
20,Right,4,Left,False,217,-1,4,3,stair baseStep~16px
21,Right,4,Left,False,113,-1,4,3,stair baseStep~16px
22,Left,4,Left,True,115,-1,4,3,stair baseStep~16px
23,Right,4,Right,True,158,-1,4,3,stair baseStep~16px
24,Right,12,Left,False,3133,-1,12,4,stair baseStep~8px
,,,,,,,,JND_px,4
